        prz const   t   y_lag
210  170.83     1 210 3100.29
211  229.19     1 211 3271.12
212 -137.31     1 212 3500.31
213  -93.04     1 213 3363.00
214  351.67     1 214 3269.96
215  134.44     1 215 3621.63
216  -41.83     1 216 3756.07
217   96.91     1 217 3714.24
218  161.74     1 218 3811.15
219  208.28     1 219 3972.89
220   22.94     1 220 4181.17
221   93.39     1 221 4204.11
222   97.76     1 222 4297.50
223  127.42     1 223 4395.26
224 -215.14     1 224 4522.68
225  297.84     1 225 4307.54
226  -38.38     1 226 4605.38
227  199.18     1 227 4567.00
228 -250.63     1 228 4766.18
229 -141.76     1 229 4515.55
230  156.62     1 230 4373.79
231 -398.48     1 231 4530.41
232    0.22     1 232 4131.93
233 -346.77     1 233 4132.15
234  344.91     1 234 3785.38
235 -175.29     1 235 4130.29
236 -369.38     1 236 3955.00
237  286.36     1 237 3585.62
238  208.13     1 238 3871.98
239 -240.61     1 239 4080.11
240  237.10     1 240 3839.50
241 -106.45     1 241 4076.60
242  139.16     1 242 3970.15
243   60.17     1 243 4109.31
244   10.35     1 244 4169.48
245  270.55     1 245 4179.83
246  138.58     1 246 4450.38
247  -81.30     1 247 4588.96
248 -219.61     1 248 4507.66
249  -94.25     1 249 4288.05
250  373.98     1 250 4193.80
251 151.41     1 251 4567.78
